Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081045.301120, 252.000, 4.903, 1235.657
1460081045.301320, 252.000, 4.903, 1235.657
1460081045.301520, 251.000, 4.903, 1230.753
1460081045.301720, 252.000, 4.903, 1235.657
1460081045.301920, 246.000, 4.903, 1206.236
1460081045.302120, 246.000, 4.903, 1206.236
1460081045.302320, 244.500, 4.903, 1198.881
1460081045.302520, 241.000, 4.903, 1181.719
1460081045.302720, 239.500, 4.903, 1174.364
1460081045.302920, 239.000, 4.903, 1171.913
1460081045.303120, 240.500, 4.903, 1179.268
1460081045.303320, 241.500, 4.903, 1184.171
1460081045.303520, 241.000, 4.903, 1181.719
1460081045.303720, 240.500, 4.903, 1179.268
1460081045.303920, 240.500, 4.903, 1179.268
1460081045.304120, 240.500, 4.903, 1179.268
1460081045.304320, 240.500, 4.903, 1179.268
1460081045.304520, 241.000, 4.903, 1181.719
1460081045.304720, 241.000, 4.903, 1181.719
1460081045.304920, 241.000, 4.903, 1181.719
1460081045.305120, 240.500, 4.903, 1179.268
1460081045.305320, 241.000, 4.903, 1181.719
1460081045.305520, 241.000, 4.903, 1181.719
1460081045.305720, 241.000, 4.903, 1181.719
1460081045.305920, 241.000, 4.903, 1181.719
1460081045.306120, 240.500, 4.903, 1179.268
1460081045.306320, 240.500, 4.903, 1179.268
1460081045.306520, 240.500, 4.903, 1179.268
1460081045.306720, 242.500, 4.903, 1189.075
1460081045.306920, 240.500, 4.903, 1179.268
1460081045.307120, 241.500, 4.903, 1184.171
1460081045.307320, 252.000, 4.903, 1235.657
1460081045.307520, 245.000, 4.903, 1201.333
1460081045.307720, 242.500, 4.903, 1189.075
1460081045.307920, 242.000, 4.903, 1186.623
1460081045.308120, 241.500, 4.903, 1184.171
1460081045.308320, 241.000, 4.903, 1181.719
1460081045.308520, 241.000, 4.903, 1181.719
1460081045.308720, 241.000, 4.903, 1181.719
1460081045.308920, 245.000, 4.903, 1201.333
1460081045.309120, 239.500, 4.903, 1174.364
1460081045.309320, 243.000, 4.903, 1191.526
1460081045.309520, 244.500, 4.903, 1198.881
1460081045.309720, 243.000, 4.903, 1191.526
1460081045.309920, 241.500, 4.903, 1184.171
1460081045.310120, 241.000, 4.903, 1181.719
1460081045.310320, 241.000, 4.903, 1181.719
1460081045.310520, 241.500, 4.903, 1184.171
1460081045.310720, 241.000, 4.903, 1181.719
1460081045.310920, 241.000, 4.903, 1181.719
1460081045.311120, 241.000, 4.903, 1181.719
1460081045.311320, 241.000, 4.903, 1181.719
1460081045.311520, 241.000, 4.903, 1181.719
1460081045.311720, 241.000, 4.903, 1181.719
1460081045.311920, 241.000, 4.903, 1181.719
1460081045.312120, 241.000, 4.903, 1181.719
1460081045.312320, 241.500, 4.903, 1184.171
1460081045.312520, 241.000, 4.903, 1181.719
1460081045.312720, 241.500, 4.903, 1184.171
1460081045.312920, 241.000, 4.903, 1181.719
1460081045.313120, 241.500, 4.903, 1184.171
1460081045.313320, 241.500, 4.903, 1184.171
1460081045.313520, 241.000, 4.903, 1181.719
1460081045.313720, 241.000, 4.903, 1181.719
1460081045.313920, 241.000, 4.903, 1181.719
1460081045.314120, 241.000, 4.903, 1181.719
1460081045.314320, 241.500, 4.903, 1184.171
1460081045.314520, 241.000, 4.903, 1181.719
1460081045.314720, 241.000, 4.903, 1181.719
1460081045.314920, 241.000, 4.903, 1181.719
1460081045.315120, 242.000, 4.903, 1186.623
1460081045.315320, 243.500, 4.903, 1193.978
1460081045.315520, 242.000, 4.903, 1186.623
1460081045.315720, 242.000, 4.903, 1186.623
1460081045.315920, 255.000, 4.903, 1250.367
1460081045.316120, 247.500, 4.903, 1213.592
1460081045.316320, 242.500, 4.903, 1189.075
1460081045.316520, 241.500, 4.903, 1184.171
1460081045.316720, 243.000, 4.903, 1191.526
1460081045.316920, 242.000, 4.903, 1186.623
1460081045.317120, 242.500, 4.903, 1189.075
1460081045.317320, 242.000, 4.903, 1186.623
1460081045.317520, 243.500, 4.903, 1193.978
1460081045.317720, 241.500, 4.903, 1184.171
1460081045.317920, 241.000, 4.903, 1181.719
1460081045.318120, 241.000, 4.903, 1181.719
1460081045.318320, 248.500, 4.903, 1218.495
1460081045.318520, 246.500, 4.903, 1208.688
1460081045.318720, 245.000, 4.903, 1201.333
1460081045.318920, 248.500, 4.903, 1218.495
1460081045.319120, 250.500, 4.903, 1228.302
1460081045.319320, 250.500, 4.903, 1228.302
1460081045.319520, 248.000, 4.903, 1216.043
1460081045.319720, 251.000, 4.903, 1230.753
1460081045.319920, 248.000, 4.903, 1216.043
1460081045.320120, 247.500, 4.903, 1213.592
1460081045.320320, 246.500, 4.903, 1208.688
1460081045.320520, 243.000, 4.903, 1191.526
1460081045.320720, 241.500, 4.903, 1184.171
1460081045.320920, 241.500, 4.903, 1184.171
1460081045.321120, 241.000, 4.903, 1181.719
1460081045.321320, 241.000, 4.903, 1181.719
1460081045.321520, 241.500, 4.903, 1184.171
1460081045.321720, 241.500, 4.903, 1184.171
1460081045.321920, 241.500, 4.903, 1184.171
1460081045.322120, 241.500, 4.903, 1184.171
1460081045.322320, 241.500, 4.903, 1184.171
1460081045.322520, 241.500, 4.903, 1184.171
1460081045.322720, 241.000, 4.903, 1181.719
1460081045.322920, 241.500, 4.903, 1184.171
1460081045.323120, 244.000, 4.903, 1196.430
1460081045.323320, 245.500, 4.903, 1203.785
1460081045.323520, 242.000, 4.903, 1186.623
1460081045.323720, 241.500, 4.903, 1184.171
1460081045.323920, 241.500, 4.903, 1184.171
1460081045.324120, 241.000, 4.903, 1181.719
1460081045.324320, 241.000, 4.903, 1181.719
1460081045.324520, 242.000, 4.903, 1186.623
1460081045.324720, 241.500, 4.903, 1184.171
1460081045.324920, 241.000, 4.903, 1181.719
1460081045.325120, 243.000, 4.903, 1191.526
1460081045.325320, 243.000, 4.903, 1191.526
1460081045.325520, 244.000, 4.903, 1196.430
1460081045.325720, 242.500, 4.903, 1189.075
1460081045.325920, 242.000, 4.903, 1186.623
1460081045.326120, 241.500, 4.903, 1184.171
1460081045.326320, 241.000, 4.903, 1181.719
1460081045.326520, 242.000, 4.903, 1186.623
1460081045.326720, 241.500, 4.903, 1184.171
1460081045.326920, 245.500, 4.903, 1203.785
1460081045.327120, 237.500, 4.903, 1164.558
1460081045.327320, 241.500, 4.903, 1184.171
1460081045.327520, 241.500, 4.903, 1184.171
1460081045.327720, 241.000, 4.903, 1181.719
1460081045.327920, 241.500, 4.903, 1184.171
1460081045.328120, 241.000, 4.903, 1181.719
1460081045.328320, 241.500, 4.903, 1184.171
1460081045.328520, 241.500, 4.903, 1184.171
1460081045.328720, 241.000, 4.903, 1181.719
1460081045.328920, 241.500, 4.903, 1184.171
1460081045.329120, 250.500, 4.903, 1228.302
1460081045.329320, 265.500, 4.903, 1301.853
1460081045.329520, 265.500, 4.903, 1301.853
1460081045.329720, 252.500, 4.903, 1238.109
1460081045.329920, 244.500, 4.903, 1198.881
1460081045.330120, 242.500, 4.903, 1189.075
1460081045.330320, 242.000, 4.903, 1186.623
1460081045.330520, 242.500, 4.903, 1189.075
1460081045.330720, 242.000, 4.903, 1186.623
1460081045.330920, 242.500, 4.903, 1189.075
1460081045.331120, 244.000, 4.903, 1196.430
1460081045.331320, 246.000, 4.903, 1206.236
1460081045.331520, 243.000, 4.903, 1191.526
1460081045.331720, 242.000, 4.903, 1186.623
1460081045.331920, 242.000, 4.903, 1186.623
1460081045.332120, 242.500, 4.903, 1189.075
1460081045.332320, 241.500, 4.903, 1184.171
1460081045.332520, 242.000, 4.903, 1186.623
1460081045.332720, 242.000, 4.903, 1186.623
1460081045.332920, 242.000, 4.903, 1186.623
1460081045.333120, 244.500, 4.903, 1198.881
1460081045.333320, 244.000, 4.903, 1196.430
1460081045.333520, 245.500, 4.903, 1203.785
1460081045.333720, 243.500, 4.903, 1193.978
1460081045.333920, 241.500, 4.903, 1184.171
1460081045.334120, 241.000, 4.903, 1181.719
1460081045.334320, 241.500, 4.903, 1184.171
1460081045.334520, 241.000, 4.903, 1181.719
1460081045.334720, 240.500, 4.903, 1179.268
1460081045.334920, 241.000, 4.903, 1181.719
1460081045.335120, 241.500, 4.903, 1184.171
1460081045.335320, 240.500, 4.903, 1179.268
1460081045.335520, 240.500, 4.903, 1179.268
1460081045.335720, 240.000, 4.903, 1176.816
1460081045.335920, 240.000, 4.903, 1176.816
1460081045.336120, 241.000, 4.903, 1181.719
1460081045.336320, 248.500, 4.903, 1218.495
1460081045.336520, 248.500, 4.903, 1218.495
1460081045.336720, 249.000, 4.903, 1220.947
1460081045.336920, 250.000, 4.903, 1225.850
1460081045.337120, 252.500, 4.903, 1238.109
1460081045.337320, 253.000, 4.903, 1240.560
