Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081125.646590, 284.500, 4.872, 1386.056
1460081125.646790, 284.500, 4.872, 1386.056
1460081125.646990, 284.500, 4.872, 1386.056
1460081125.647190, 284.500, 4.872, 1386.056
1460081125.647390, 300.500, 4.872, 1464.006
1460081125.647590, 295.000, 4.872, 1437.211
1460081125.647790, 287.500, 4.872, 1400.671
1460081125.647990, 285.500, 4.872, 1390.927
1460081125.648190, 284.500, 4.872, 1386.056
1460081125.648390, 284.500, 4.872, 1386.056
1460081125.648590, 284.000, 4.872, 1383.620
1460081125.648790, 284.500, 4.872, 1386.056
1460081125.648990, 284.500, 4.872, 1386.056
1460081125.649190, 285.000, 4.872, 1388.492
1460081125.649390, 284.000, 4.872, 1383.620
1460081125.649590, 286.000, 4.872, 1393.363
1460081125.649790, 287.000, 4.872, 1398.235
1460081125.649990, 285.500, 4.872, 1390.927
1460081125.650190, 284.500, 4.872, 1386.056
1460081125.650390, 283.500, 4.872, 1381.184
1460081125.650590, 284.500, 4.872, 1386.056
1460081125.650790, 284.000, 4.872, 1383.620
1460081125.650990, 284.000, 4.872, 1383.620
1460081125.651190, 284.500, 4.872, 1386.056
1460081125.651390, 284.000, 4.872, 1383.620
1460081125.651590, 286.000, 4.872, 1393.363
1460081125.651790, 286.000, 4.872, 1393.363
1460081125.651990, 287.000, 4.872, 1398.235
1460081125.652190, 285.500, 4.872, 1390.927
1460081125.652390, 284.500, 4.872, 1386.056
1460081125.652590, 285.000, 4.872, 1388.492
1460081125.652790, 285.000, 4.872, 1388.492
1460081125.652990, 285.500, 4.872, 1390.927
1460081125.653190, 285.000, 4.872, 1388.492
1460081125.653390, 285.000, 4.872, 1388.492
1460081125.653590, 284.500, 4.872, 1386.056
1460081125.653790, 284.000, 4.872, 1383.620
1460081125.653990, 284.500, 4.872, 1386.056
1460081125.654190, 284.000, 4.872, 1383.620
1460081125.654390, 285.000, 4.872, 1388.492
1460081125.654590, 285.000, 4.872, 1388.492
1460081125.654790, 284.500, 4.872, 1386.056
1460081125.654990, 283.500, 4.872, 1381.184
1460081125.655190, 283.500, 4.872, 1381.184
1460081125.655390, 284.000, 4.872, 1383.620
1460081125.655590, 283.000, 4.872, 1378.748
1460081125.655790, 283.000, 4.872, 1378.748
1460081125.655990, 282.500, 4.872, 1376.312
1460081125.656190, 284.000, 4.872, 1383.620
1460081125.656390, 284.000, 4.872, 1383.620
1460081125.656590, 282.000, 4.872, 1373.876
1460081125.656790, 282.500, 4.872, 1376.312
1460081125.656990, 283.000, 4.872, 1378.748
1460081125.657190, 282.000, 4.872, 1373.876
1460081125.657390, 283.000, 4.872, 1378.748
1460081125.657590, 287.000, 4.872, 1398.235
1460081125.657790, 287.500, 4.872, 1400.671
1460081125.657990, 289.500, 4.872, 1410.415
1460081125.658190, 292.000, 4.872, 1422.595
1460081125.658390, 289.500, 4.872, 1410.415
1460081125.658590, 291.500, 4.872, 1420.159
1460081125.658790, 294.500, 4.872, 1434.775
1460081125.658990, 296.000, 4.872, 1442.082
1460081125.659190, 293.500, 4.872, 1429.903
1460081125.659390, 295.000, 4.872, 1437.211
1460081125.659590, 295.000, 4.872, 1437.211
1460081125.659790, 292.500, 4.872, 1425.031
1460081125.659990, 313.500, 4.872, 1527.341
1460081125.660190, 288.500, 4.872, 1405.543
1460081125.660390, 286.500, 4.872, 1395.799
1460081125.660590, 284.500, 4.872, 1386.056
1460081125.660790, 284.000, 4.872, 1383.620
1460081125.660990, 284.000, 4.872, 1383.620
1460081125.661190, 285.000, 4.872, 1388.492
1460081125.661390, 285.000, 4.872, 1388.492
1460081125.661590, 284.500, 4.872, 1386.056
1460081125.661790, 284.500, 4.872, 1386.056
1460081125.661990, 284.000, 4.872, 1383.620
1460081125.662190, 284.500, 4.872, 1386.056
1460081125.662390, 284.000, 4.872, 1383.620
1460081125.662590, 284.500, 4.872, 1386.056
1460081125.662790, 284.500, 4.872, 1386.056
1460081125.662990, 283.500, 4.872, 1381.184
1460081125.663190, 284.500, 4.872, 1386.056
1460081125.663390, 284.000, 4.872, 1383.620
1460081125.663590, 284.000, 4.872, 1383.620
1460081125.663790, 284.000, 4.872, 1383.620
1460081125.663990, 284.000, 4.872, 1383.620
1460081125.664190, 284.000, 4.872, 1383.620
1460081125.664390, 285.000, 4.872, 1388.492
1460081125.664590, 284.500, 4.872, 1386.056
1460081125.664790, 284.000, 4.872, 1383.620
1460081125.664990, 284.000, 4.872, 1383.620
1460081125.665190, 284.000, 4.872, 1383.620
1460081125.665390, 284.000, 4.872, 1383.620
1460081125.665590, 286.000, 4.872, 1393.363
1460081125.665790, 287.500, 4.872, 1400.671
1460081125.665990, 285.000, 4.872, 1388.492
1460081125.666190, 284.500, 4.872, 1386.056
1460081125.666390, 283.000, 4.872, 1378.748
1460081125.666590, 284.500, 4.872, 1386.056
1460081125.666790, 284.500, 4.872, 1386.056
1460081125.666990, 284.000, 4.872, 1383.620
1460081125.667190, 284.000, 4.872, 1383.620
1460081125.667390, 284.000, 4.872, 1383.620
1460081125.667590, 286.500, 4.872, 1395.799
1460081125.667790, 286.000, 4.872, 1393.363
1460081125.667990, 287.000, 4.872, 1398.235
1460081125.668190, 284.500, 4.872, 1386.056
1460081125.668390, 284.000, 4.872, 1383.620
1460081125.668590, 283.500, 4.872, 1381.184
1460081125.668790, 284.000, 4.872, 1383.620
1460081125.668990, 283.500, 4.872, 1381.184
1460081125.669190, 284.000, 4.872, 1383.620
1460081125.669390, 284.000, 4.872, 1383.620
1460081125.669590, 284.000, 4.872, 1383.620
1460081125.669790, 283.500, 4.872, 1381.184
1460081125.669990, 283.000, 4.872, 1378.748
1460081125.670190, 285.000, 4.872, 1388.492
1460081125.670390, 284.500, 4.872, 1386.056
1460081125.670590, 285.000, 4.872, 1388.492
1460081125.670790, 285.000, 4.872, 1388.492
